area,year,measurement,units,value,breakdown_of_domestic_tourism,age,marital_status,gender,employment_status,children,access_to_car,social_grade,type_of_location_visited,tourism_activity
Scotland,2015,Count,million pounds (GBP),2672,Expenditure,All,Married,All,All,All,All,All,NA,NA
Scotland,2015,Count,million pounds (GBP),1929,Expenditure,All,All,Male,All,All,All,All,NA,NA
Scotland,2019,Count,million pounds (GBP),3924,Expenditure,All,Married,All,All,All,All,All,NA,NA
Scotland,2016,Count,million pounds (GBP),2483,Expenditure,All,All,Male,All,All,All,All,NA,NA
Scotland,2015,Count,million pounds (GBP),1993,Expenditure,All,All,Female,All,All,All,All,NA,NA
Scotland,2013,Count,million pounds (GBP),2389,Expenditure,All,All,Female,All,All,All,All,NA,NA
Scotland,2017,Count,million pounds (GBP),2992,Expenditure,All,All,Female,All,All,All,All,NA,NA
Scotland,2018,Count,million pounds (GBP),2024,Expenditure,All,All,All,All,All,All,AB,NA,NA
Scotland,2016,Count,million pounds (GBP),4916,Expenditure,All,All,All,All,All,All,All,All areas,All
Scotland,2014,Count,million pounds (GBP),2427,Expenditure,All,All,Male,All,All,All,All,NA,NA
Scotland,2017,Count,million pounds (GBP),3566,Expenditure,All,Married,All,All,All,All,All,NA,NA
Scotland,2014,Count,million pounds (GBP),3388,Expenditure,All,Married,All,All,All,All,All,NA,NA
Scotland,2018,Count,million pounds (GBP),1885,Expenditure,All,Not Married,All,All,All,All,All,NA,NA
Scotland,2015,Count,million pounds (GBP),3922,Expenditure,All,All,All,All,All,All,All,All areas,All
Scotland,2019,Count,million pounds (GBP),2926,Expenditure,All,All,Female,All,All,All,All,NA,NA
Scotland,2013,Count,million pounds (GBP),1600,Expenditure,All,All,All,All,All,All,AB,NA,NA
Scotland,2013,Count,Million Visits,24,Visits,All,All,All,All,All,No access to car (0),All,NA,NA
Scotland,2016,Count,million pounds (GBP),640,Expenditure,All,All,All,All,All,No access to car (0),All,NA,NA
