area,year,measurement,units,value,region_of_residence,breakdown_of_domestic_tourism
Scottish Borders,2012-2014,Count,Thousand Visits,148,Scotland,Visits
Scottish Borders,2016-2018,Count,Thousand Nights,256,Scotland,Nights
Scottish Borders,2015-2017,Count,Thousand Nights,852,All of GB,Nights
Scottish Borders,2011-2013,Count,Thousand Nights,570,Scotland,Nights
Scottish Borders,2013-2015,Count,Thousand Nights,388,Scotland,Nights
Scottish Borders,2014-2016,Count,Thousand Nights,947,All of GB,Nights
Scottish Borders,2015-2017,Count,Thousand Nights,598,England,Nights
Scottish Borders,2009-2011,Count,million pounds (GBP),42,England,Expenditure
Scottish Borders,2009-2011,Count,Thousand Nights,507,Scotland,Nights
Scottish Borders,2010-2012,Count,million pounds (GBP),65,All of GB,Expenditure
Scottish Borders,2014-2016,Count,Thousand Nights,638,England,Nights
Scottish Borders,2011-2013,Count,million pounds (GBP),41,England,Expenditure
Scottish Borders,2014-2016,Count,million pounds (GBP),33,England,Expenditure
Scottish Borders,2017-2019,Count,Thousand Nights,705,England,Nights
Scottish Borders,2014-2016,Count,million pounds (GBP),53,All of GB,Expenditure
Scottish Borders,2011-2013,Count,Thousand Visits,174,Scotland,Visits
Scottish Borders,2012-2014,Count,Thousand Nights,487,Scotland,Nights
Scottish Borders,2010-2012,Count,Thousand Nights,578,Scotland,Nights
Scottish Borders,2013-2015,Count,million pounds (GBP),44,England,Expenditure
Scottish Borders,2017-2019,Count,million pounds (GBP),37,England,Expenditure
Scottish Borders,2017-2019,Count,Thousand Nights,387,Scotland,Nights
Scottish Borders,2014-2016,Count,Thousand Visits,172,England,Visits
Scottish Borders,2012-2014,Count,Thousand Visits,198,England,Visits
Scottish Borders,2017-2019,Count,Thousand Visits,144,Scotland,Visits
Scottish Borders,2015-2017,Count,million pounds (GBP),53,All of GB,Expenditure
Scottish Borders,2016-2018,Count,Thousand Visits,311,All of GB,Visits
Scottish Borders,2010-2012,Count,million pounds (GBP),22,Scotland,Expenditure
Scottish Borders,2014-2016,Count,Thousand Visits,295,All of GB,Visits
Scottish Borders,2015-2017,Count,Thousand Nights,235,Scotland,Nights
Scottish Borders,2010-2012,Count,Thousand Nights,1323,All of GB,Nights
Scottish Borders,2012-2014,Count,million pounds (GBP),27,Scotland,Expenditure
Scottish Borders,2017-2019,Count,million pounds (GBP),24,Scotland,Expenditure
Scottish Borders,2017-2019,Count,million pounds (GBP),63,All of GB,Expenditure
Scottish Borders,2010-2012,Count,Thousand Nights,724,England,Nights
Scottish Borders,2012-2014,Count,Thousand Nights,1236,All of GB,Nights
Scottish Borders,2016-2018,Count,Thousand Nights,912,All of GB,Nights
Scottish Borders,2009-2011,Count,million pounds (GBP),29,Scotland,Expenditure
Scottish Borders,2011-2013,Count,million pounds (GBP),31,Scotland,Expenditure
Scottish Borders,2016-2018,Count,Thousand Nights,637,England,Nights
Shetland Islands,2011-2013,Count,Thousand Nights,243,Scotland,Nights
Shetland Islands,2010-2012,Count,million pounds (GBP),25,All of GB,Expenditure
Shetland Islands,2012-2014,Count,Thousand Nights,425,Scotland,Nights
Shetland Islands,2015-2017,Count,Thousand Nights,426,All of GB,Nights
Shetland Islands,2016-2018,Count,Thousand Nights,186,Scotland,Nights
Shetland Islands,2017-2019,Count,million pounds (GBP),4,England,Expenditure
Shetland Islands,2009-2011,Count,million pounds (GBP),8,England,Expenditure
Shetland Islands,2015-2017,Count,million pounds (GBP),5,Scotland,Expenditure
Shetland Islands,2010-2012,Count,Thousand Nights,212,All of GB,Nights
Shetland Islands,2011-2013,Count,Thousand Visits,60,All of GB,Visits
Shetland Islands,2013-2015,Count,Thousand Nights,770,All of GB,Nights
Shetland Islands,2009-2011,Count,Thousand Nights,42,Scotland,Nights
Shetland Islands,2011-2013,Count,Thousand Visits,25,Scotland,Visits
Shetland Islands,2009-2011,Count,Thousand Visits,12,Scotland,Visits
Shetland Islands,2013-2015,Count,million pounds (GBP),39,All of GB,Expenditure
Shetland Islands,2010-2012,Count,Thousand Visits,44,All of GB,Visits
Shetland Islands,2011-2013,Count,Thousand Nights,280,England,Nights
Shetland Islands,2010-2012,Count,Thousand Visits,17,Scotland,Visits
Shetland Islands,2012-2014,Count,Thousand Visits,39,Scotland,Visits
Shetland Islands,2015-2017,Count,Thousand Visits,49,All of GB,Visits
Shetland Islands,2017-2019,Count,Thousand Nights,98,England,Nights
Shetland Islands,2010-2012,Count,million pounds (GBP),14,Scotland,Expenditure
Shetland Islands,2016-2018,Count,Thousand Nights,375,All of GB,Nights
Shetland Islands,2013-2015,Count,Thousand Nights,605,England,Nights
Shetland Islands,2014-2016,Count,million pounds (GBP),19,England,Expenditure
Shetland Islands,2011-2013,Count,million pounds (GBP),22,England,Expenditure
Shetland Islands,2012-2014,Count,Thousand Visits,75,All of GB,Visits
Shetland Islands,2014-2016,Count,Thousand Visits,36,England,Visits
Shetland Islands,2011-2013,Count,Thousand Nights,523,All of GB,Nights
Shetland Islands,2015-2017,Count,Thousand Visits,17,Scotland,Visits
Shetland Islands,2014-2016,Count,Thousand Nights,505,England,Nights
Shetland Islands,2013-2015,Count,Thousand Visits,68,All of GB,Visits
Shetland Islands,2011-2013,Count,million pounds (GBP),9,Scotland,Expenditure
Shetland Islands,2014-2016,Count,Thousand Nights,306,Scotland,Nights
Shetland Islands,2014-2016,Count,Thousand Nights,627,All of GB,Nights
Shetland Islands,2010-2012,Count,Thousand Nights,101,England,Nights
Shetland Islands,2010-2012,Count,Thousand Visits,26,England,Visits
Shetland Islands,2009-2011,Count,Thousand Visits,37,All of GB,Visits
Shetland Islands,2013-2015,Count,Thousand Nights,350,Scotland,Nights
Shetland Islands,2015-2017,Count,Thousand Visits,32,England,Visits
Shetland Islands,2012-2014,Count,million pounds (GBP),20,Scotland,Expenditure
Shetland Islands,2017-2019,Count,Thousand Nights,251,All of GB,Nights
Shetland Islands,2016-2018,Count,Thousand Visits,45,All of GB,Visits
Shetland Islands,2016-2018,Count,Thousand Visits,16,Scotland,Visits
Shetland Islands,2017-2019,Count,million pounds (GBP),2,Scotland,Expenditure
Shetland Islands,2012-2014,Count,Thousand Nights,543,England,Nights
Shetland Islands,2013-2015,Count,Thousand Visits,36,England,Visits
Shetland Islands,2013-2015,Count,Thousand Visits,32,Scotland,Visits
Shetland Islands,2016-2018,Count,million pounds (GBP),3,Scotland,Expenditure
Shetland Islands,2015-2017,Count,million pounds (GBP),19,All of GB,Expenditure
Shetland Islands,2013-2015,Count,million pounds (GBP),15,Scotland,Expenditure
Shetland Islands,2016-2018,Count,million pounds (GBP),15,All of GB,Expenditure
Shetland Islands,2009-2011,Count,million pounds (GBP),19,All of GB,Expenditure
Shetland Islands,2011-2013,Count,Thousand Visits,35,England,Visits
Shetland Islands,2014-2016,Count,Thousand Visits,65,All of GB,Visits
Shetland Islands,2014-2016,Count,million pounds (GBP),33,All of GB,Expenditure
Shetland Islands,2014-2016,Count,million pounds (GBP),14,Scotland,Expenditure
Shetland Islands,2012-2014,Count,million pounds (GBP),22,England,Expenditure
Shetland Islands,2017-2019,Count,Thousand Visits,31,All of GB,Visits
Shetland Islands,2009-2011,Count,million pounds (GBP),9,Scotland,Expenditure
Shetland Islands,2016-2018,Count,Thousand Nights,189,England,Nights
Shetland Islands,2012-2014,Count,million pounds (GBP),42,All of GB,Expenditure
Shetland Islands,2011-2013,Count,million pounds (GBP),31,All of GB,Expenditure
Shetland Islands,2009-2011,Count,Thousand Visits,18,England,Visits
Shetland Islands,2016-2018,Count,million pounds (GBP),13,England,Expenditure
Shetland Islands,2015-2017,Count,Thousand Nights,143,Scotland,Nights
Shetland Islands,2017-2019,Count,Thousand Visits,13,Scotland,Visits
Shetland Islands,2010-2012,Count,Thousand Nights,95,Scotland,Nights
Shetland Islands,2017-2019,Count,Thousand Visits,18,England,Visits
Shetland Islands,2010-2012,Count,million pounds (GBP),10,England,Expenditure
Shetland Islands,2015-2017,Count,million pounds (GBP),15,England,Expenditure
Shetland Islands,2012-2014,Count,Thousand Visits,36,England,Visits
Shetland Islands,2017-2019,Count,Thousand Nights,152,Scotland,Nights
Shetland Islands,2016-2018,Count,Thousand Visits,29,England,Visits
Shetland Islands,2009-2011,Count,Thousand Nights,150,All of GB,Nights
Shetland Islands,2014-2016,Count,Thousand Visits,29,Scotland,Visits
Shetland Islands,2013-2015,Count,million pounds (GBP),23,England,Expenditure
Shetland Islands,2017-2019,Count,million pounds (GBP),7,All of GB,Expenditure
Shetland Islands,2009-2011,Count,Thousand Nights,54,England,Nights
Shetland Islands,2015-2017,Count,Thousand Nights,283,England,Nights
Shetland Islands,2012-2014,Count,Thousand Nights,784,All of GB,Nights
South Ayrshire,2013-2015,Count,million pounds (GBP),29,Scotland,Expenditure
South Ayrshire,2011-2013,Count,million pounds (GBP),72,All of GB,Expenditure
South Ayrshire,2016-2018,Count,Thousand Visits,354,All of GB,Visits
South Ayrshire,2011-2013,Count,million pounds (GBP),43,England,Expenditure
South Ayrshire,2012-2014,Count,Thousand Visits,362,All of GB,Visits
South Ayrshire,2016-2018,Count,million pounds (GBP),46,England,Expenditure
South Ayrshire,2017-2019,Count,Thousand Visits,163,England,Visits
South Ayrshire,2017-2019,Count,Thousand Visits,208,Scotland,Visits
South Ayrshire,2011-2013,Count,Thousand Nights,492,Scotland,Nights
South Ayrshire,2017-2019,Count,million pounds (GBP),36,Scotland,Expenditure
South Ayrshire,2014-2016,Count,Thousand Nights,636,Scotland,Nights
South Ayrshire,2012-2014,Count,million pounds (GBP),23,Scotland,Expenditure
South Ayrshire,2016-2018,Count,million pounds (GBP),40,Scotland,Expenditure
South Ayrshire,2017-2019,Count,Thousand Nights,726,Scotland,Nights
South Ayrshire,2015-2017,Count,million pounds (GBP),71,All of GB,Expenditure
South Ayrshire,2016-2018,Count,Thousand Visits,217,Scotland,Visits
South Ayrshire,2010-2012,Count,Thousand Nights,1205,All of GB,Nights
South Ayrshire,2014-2016,Count,Thousand Visits,100,England,Visits
South Ayrshire,2011-2013,Count,Thousand Nights,1222,All of GB,Nights
South Ayrshire,2017-2019,Count,million pounds (GBP),45,England,Expenditure
South Ayrshire,2015-2017,Count,Thousand Visits,205,Scotland,Visits
South Ayrshire,2015-2017,Count,Thousand Nights,939,All of GB,Nights
South Ayrshire,2011-2013,Count,Thousand Visits,320,All of GB,Visits
South Ayrshire,2014-2016,Count,Thousand Nights,955,All of GB,Nights
South Ayrshire,2010-2012,Count,million pounds (GBP),24,Scotland,Expenditure
South Ayrshire,2010-2012,Count,million pounds (GBP),34,England,Expenditure
South Ayrshire,2010-2012,Count,Thousand Nights,535,Scotland,Nights
South Ayrshire,2012-2014,Count,Thousand Visits,168,England,Visits
South Ayrshire,2012-2014,Count,Thousand Visits,194,Scotland,Visits
South Ayrshire,2011-2013,Count,Thousand Nights,721,England,Nights
South Ayrshire,2014-2016,Count,million pounds (GBP),29,England,Expenditure
South Ayrshire,2009-2011,Count,million pounds (GBP),45,England,Expenditure
South Ayrshire,2009-2011,Count,Thousand Visits,156,England,Visits
South Ayrshire,2012-2014,Count,million pounds (GBP),38,England,Expenditure
South Ayrshire,2015-2017,Count,Thousand Visits,99,England,Visits
South Ayrshire,2015-2017,Count,Thousand Nights,349,England,Nights
South Ayrshire,2011-2013,Count,million pounds (GBP),19,Scotland,Expenditure
South Ayrshire,2013-2015,Count,Thousand Nights,616,Scotland,Nights
South Ayrshire,2010-2012,Count,million pounds (GBP),67,All of GB,Expenditure
South Ayrshire,2016-2018,Count,Thousand Nights,617,England,Nights
South Ayrshire,2009-2011,Count,Thousand Nights,682,Scotland,Nights
South Ayrshire,2012-2014,Count,Thousand Nights,539,Scotland,Nights
South Ayrshire,2013-2015,Count,million pounds (GBP),28,England,Expenditure
South Ayrshire,2016-2018,Count,million pounds (GBP),86,All of GB,Expenditure
South Ayrshire,2014-2016,Count,Thousand Visits,343,All of GB,Visits
South Ayrshire,2014-2016,Count,million pounds (GBP),37,Scotland,Expenditure
South Ayrshire,2009-2011,Count,million pounds (GBP),83,All of GB,Expenditure
South Ayrshire,2011-2013,Count,Thousand Visits,158,England,Visits
South Ayrshire,2010-2012,Count,Thousand Visits,305,All of GB,Visits
South Ayrshire,2013-2015,Count,Thousand Nights,661,England,Nights
South Ayrshire,2009-2011,Count,Thousand Nights,1361,All of GB,Nights
South Ayrshire,2013-2015,Count,million pounds (GBP),57,All of GB,Expenditure
South Ayrshire,2013-2015,Count,Thousand Visits,134,England,Visits
South Ayrshire,2016-2018,Count,Thousand Nights,765,Scotland,Nights
South Ayrshire,2010-2012,Count,Thousand Visits,171,Scotland,Visits
South Ayrshire,2014-2016,Count,million pounds (GBP),67,All of GB,Expenditure
South Ayrshire,2014-2016,Count,Thousand Nights,525,England,Nights
South Ayrshire,2012-2014,Count,Thousand Nights,918,England,Nights
South Ayrshire,2017-2019,Count,Thousand Visits,373,All of GB,Visits
South Ayrshire,2011-2013,Count,Thousand Visits,159,Scotland,Visits
South Ayrshire,2014-2016,Count,Thousand Visits,243,Scotland,Visits
South Ayrshire,2010-2012,Count,Thousand Visits,128,England,Visits
South Ayrshire,2009-2011,Count,Thousand Visits,382,All of GB,Visits
South Ayrshire,2012-2014,Count,million pounds (GBP),61,All of GB,Expenditure
South Ayrshire,2015-2017,Count,Thousand Visits,304,All of GB,Visits
South Ayrshire,2017-2019,Count,million pounds (GBP),82,All of GB,Expenditure
South Ayrshire,2012-2014,Count,Thousand Nights,1251,All of GB,Nights
South Ayrshire,2013-2015,Count,Thousand Visits,239,Scotland,Visits
South Ayrshire,2017-2019,Count,Thousand Nights,761,England,Nights
South Ayrshire,2017-2019,Count,Thousand Nights,1493,All of GB,Nights
South Ayrshire,2016-2018,Count,Thousand Visits,135,England,Visits
South Ayrshire,2016-2018,Count,Thousand Nights,1388,All of GB,Nights
South Ayrshire,2009-2011,Count,Thousand Visits,216,Scotland,Visits
South Ayrshire,2015-2017,Count,million pounds (GBP),36,Scotland,Expenditure
South Ayrshire,2015-2017,Count,million pounds (GBP),35,England,Expenditure
South Ayrshire,2009-2011,Count,Thousand Nights,620,England,Nights
South Ayrshire,2013-2015,Count,Thousand Visits,373,All of GB,Visits
South Ayrshire,2013-2015,Count,Thousand Nights,1069,All of GB,Nights
South Ayrshire,2015-2017,Count,Thousand Nights,590,Scotland,Nights
South Ayrshire,2010-2012,Count,Thousand Nights,641,England,Nights
South Ayrshire,2009-2011,Count,million pounds (GBP),28,Scotland,Expenditure
South Lanarkshire,2015-2017,Count,Thousand Visits,129,All of GB,Visits
South Lanarkshire,2010-2012,Count,million pounds (GBP),26,All of GB,Expenditure
South Lanarkshire,2016-2018,Count,Thousand Nights,270,England,Nights
South Lanarkshire,2009-2011,Count,Thousand Nights,242,England,Nights
South Lanarkshire,2017-2019,Count,Thousand Nights,48,Scotland,Nights
South Lanarkshire,2012-2014,Count,Thousand Visits,75,Scotland,Visits
South Lanarkshire,2009-2011,Count,million pounds (GBP),12,England,Expenditure
South Lanarkshire,2017-2019,Count,Thousand Visits,94,England,Visits
South Lanarkshire,2017-2019,Count,million pounds (GBP),15,England,Expenditure
South Lanarkshire,2013-2015,Count,Thousand Visits,62,England,Visits
South Lanarkshire,2016-2018,Count,Thousand Visits,108,England,Visits
South Lanarkshire,2014-2016,Count,million pounds (GBP),3,Scotland,Expenditure
South Lanarkshire,2016-2018,Count,million pounds (GBP),22,All of GB,Expenditure
South Lanarkshire,2017-2019,Count,Thousand Visits,39,Scotland,Visits
South Lanarkshire,2009-2011,Count,million pounds (GBP),10,Scotland,Expenditure
South Lanarkshire,2010-2012,Count,million pounds (GBP),13,England,Expenditure
South Lanarkshire,2011-2013,Count,Thousand Visits,106,Scotland,Visits
South Lanarkshire,2011-2013,Count,Thousand Nights,195,Scotland,Nights
South Lanarkshire,2012-2014,Count,million pounds (GBP),19,All of GB,Expenditure
South Lanarkshire,2016-2018,Count,Thousand Visits,140,All of GB,Visits
South Lanarkshire,2015-2017,Count,million pounds (GBP),3,Scotland,Expenditure
South Lanarkshire,2015-2017,Count,million pounds (GBP),24,All of GB,Expenditure
South Lanarkshire,2016-2018,Count,million pounds (GBP),17,England,Expenditure
South Lanarkshire,2009-2011,Count,Thousand Visits,65,England,Visits
South Lanarkshire,2012-2014,Count,Thousand Nights,149,Scotland,Nights
South Lanarkshire,2009-2011,Count,million pounds (GBP),24,All of GB,Expenditure
South Lanarkshire,2011-2013,Count,Thousand Nights,220,England,Nights
South Lanarkshire,2010-2012,Count,Thousand Nights,292,Scotland,Nights
South Lanarkshire,2015-2017,Count,Thousand Visits,87,England,Visits
South Lanarkshire,2011-2013,Count,million pounds (GBP),25,All of GB,Expenditure
South Lanarkshire,2012-2014,Count,million pounds (GBP),8,Scotland,Expenditure
South Lanarkshire,2015-2017,Count,Thousand Nights,53,Scotland,Nights
South Lanarkshire,2013-2015,Count,Thousand Visits,47,Scotland,Visits
South Lanarkshire,2017-2019,Count,million pounds (GBP),5,Scotland,Expenditure
South Lanarkshire,2011-2013,Count,million pounds (GBP),14,England,Expenditure
South Lanarkshire,2014-2016,Count,million pounds (GBP),22,All of GB,Expenditure
South Lanarkshire,2009-2011,Count,Thousand Nights,261,Scotland,Nights
South Lanarkshire,2014-2016,Count,Thousand Visits,28,Scotland,Visits
South Lanarkshire,2014-2016,Count,million pounds (GBP),16,England,Expenditure
South Lanarkshire,2014-2016,Count,Thousand Nights,204,England,Nights
South Lanarkshire,2010-2012,Count,Thousand Nights,517,All of GB,Nights
South Lanarkshire,2009-2011,Count,Thousand Visits,183,All of GB,Visits
South Lanarkshire,2010-2012,Count,Thousand Visits,126,Scotland,Visits
South Lanarkshire,2017-2019,Count,Thousand Nights,283,England,Nights
South Lanarkshire,2016-2018,Count,Thousand Visits,29,Scotland,Visits
South Lanarkshire,2011-2013,Count,Thousand Visits,178,All of GB,Visits
South Lanarkshire,2015-2017,Count,million pounds (GBP),18,England,Expenditure
South Lanarkshire,2012-2014,Count,Thousand Visits,135,All of GB,Visits
South Lanarkshire,2017-2019,Count,Thousand Nights,348,All of GB,Nights
South Lanarkshire,2013-2015,Count,Thousand Visits,119,All of GB,Visits
South Lanarkshire,2015-2017,Count,Thousand Nights,289,All of GB,Nights
South Lanarkshire,2009-2011,Count,Thousand Nights,533,All of GB,Nights
South Lanarkshire,2013-2015,Count,million pounds (GBP),6,Scotland,Expenditure
South Lanarkshire,2016-2018,Count,Thousand Nights,40,Scotland,Nights
South Lanarkshire,2014-2016,Count,Thousand Visits,83,England,Visits
South Lanarkshire,2011-2013,Count,Thousand Nights,429,All of GB,Nights
South Lanarkshire,2012-2014,Count,million pounds (GBP),11,England,Expenditure
South Lanarkshire,2016-2018,Count,Thousand Nights,323,All of GB,Nights
South Lanarkshire,2011-2013,Count,million pounds (GBP),10,Scotland,Expenditure
South Lanarkshire,2013-2015,Count,Thousand Nights,181,England,Nights
South Lanarkshire,2016-2018,Count,million pounds (GBP),4,Scotland,Expenditure
South Lanarkshire,2014-2016,Count,Thousand Nights,55,Scotland,Nights
South Lanarkshire,2013-2015,Count,Thousand Nights,266,All of GB,Nights
South Lanarkshire,2010-2012,Count,Thousand Visits,69,England,Visits
South Lanarkshire,2012-2014,Count,Thousand Nights,296,All of GB,Nights
South Lanarkshire,2015-2017,Count,Thousand Nights,210,England,Nights
South Lanarkshire,2011-2013,Count,Thousand Visits,70,England,Visits
South Lanarkshire,2013-2015,Count,million pounds (GBP),23,All of GB,Expenditure
South Lanarkshire,2009-2011,Count,Thousand Visits,113,Scotland,Visits
South Lanarkshire,2015-2017,Count,Thousand Visits,29,Scotland,Visits
South Lanarkshire,2012-2014,Count,Thousand Visits,60,England,Visits
South Lanarkshire,2010-2012,Count,Thousand Visits,196,All of GB,Visits
South Lanarkshire,2014-2016,Count,Thousand Nights,252,All of GB,Nights
South Lanarkshire,2010-2012,Count,Thousand Nights,211,England,Nights
South Lanarkshire,2010-2012,Count,million pounds (GBP),12,Scotland,Expenditure
South Lanarkshire,2014-2016,Count,Thousand Visits,121,All of GB,Visits
South Lanarkshire,2017-2019,Count,Thousand Visits,139,All of GB,Visits
South Lanarkshire,2012-2014,Count,Thousand Nights,167,England,Nights
South Lanarkshire,2013-2015,Count,million pounds (GBP),15,England,Expenditure
South Lanarkshire,2013-2015,Count,Thousand Nights,91,Scotland,Nights
South Lanarkshire,2017-2019,Count,million pounds (GBP),20,All of GB,Expenditure
Stirling,2010-2012,Count,Thousand Nights,1236,All of GB,Nights
Stirling,2013-2015,Count,million pounds (GBP),40,Scotland,Expenditure
Stirling,2017-2019,Count,Thousand Nights,955,All of GB,Nights
Stirling,2013-2015,Count,Thousand Nights,509,Scotland,Nights
Stirling,2015-2017,Count,million pounds (GBP),75,All of GB,Expenditure
Stirling,2010-2012,Count,Thousand Nights,721,England,Nights
Stirling,2010-2012,Count,million pounds (GBP),72,All of GB,Expenditure
Stirling,2011-2013,Count,Thousand Visits,233,Scotland,Visits
Stirling,2015-2017,Count,Thousand Nights,1137,All of GB,Nights
Stirling,2011-2013,Count,Thousand Nights,684,England,Nights
Stirling,2016-2018,Count,Thousand Visits,130,England,Visits
Stirling,2010-2012,Count,Thousand Visits,366,All of GB,Visits
Stirling,2012-2014,Count,Thousand Visits,393,All of GB,Visits
Stirling,2011-2013,Count,Thousand Nights,528,Scotland,Nights
Stirling,2015-2017,Count,million pounds (GBP),34,Scotland,Expenditure
Stirling,2016-2018,Count,Thousand Visits,331,All of GB,Visits
Stirling,2010-2012,Count,Thousand Visits,203,Scotland,Visits
Stirling,2010-2012,Count,Thousand Visits,152,England,Visits
Stirling,2012-2014,Count,Thousand Nights,1114,All of GB,Nights
Stirling,2011-2013,Count,million pounds (GBP),34,Scotland,Expenditure
Stirling,2015-2017,Count,Thousand Nights,447,Scotland,Nights
Stirling,2009-2011,Count,Thousand Visits,174,England,Visits
Stirling,2014-2016,Count,Thousand Visits,177,England,Visits
Stirling,2017-2019,Count,million pounds (GBP),40,Scotland,Expenditure
Stirling,2016-2018,Count,million pounds (GBP),36,Scotland,Expenditure
Stirling,2009-2011,Count,Thousand Nights,1287,All of GB,Nights
Stirling,2016-2018,Count,Thousand Nights,445,Scotland,Nights
Stirling,2017-2019,Count,Thousand Visits,126,England,Visits
Stirling,2013-2015,Count,million pounds (GBP),46,England,Expenditure
Stirling,2013-2015,Count,million pounds (GBP),87,All of GB,Expenditure
Stirling,2009-2011,Count,million pounds (GBP),66,All of GB,Expenditure
Stirling,2009-2011,Count,Thousand Visits,362,All of GB,Visits
Stirling,2010-2012,Count,million pounds (GBP),23,Scotland,Expenditure
Stirling,2017-2019,Count,Thousand Visits,383,All of GB,Visits
Stirling,2016-2018,Count,Thousand Nights,461,England,Nights
Stirling,2012-2014,Count,Thousand Nights,752,England,Nights
Stirling,2013-2015,Count,Thousand Nights,809,England,Nights
Stirling,2012-2014,Count,Thousand Visits,228,Scotland,Visits
Stirling,2011-2013,Count,Thousand Nights,1266,All of GB,Nights
Stirling,2011-2013,Count,Thousand Visits,154,England,Visits
Stirling,2013-2015,Count,Thousand Visits,432,All of GB,Visits
Stirling,2015-2017,Count,Thousand Visits,211,Scotland,Visits
Stirling,2016-2018,Count,Thousand Nights,934,All of GB,Nights
Stirling,2014-2016,Count,million pounds (GBP),80,All of GB,Expenditure
Stirling,2016-2018,Count,Thousand Visits,192,Scotland,Visits
Stirling,2014-2016,Count,Thousand Visits,436,All of GB,Visits
Stirling,2009-2011,Count,Thousand Visits,184,Scotland,Visits
Stirling,2014-2016,Count,Thousand Nights,557,Scotland,Nights
Stirling,2015-2017,Count,million pounds (GBP),39,England,Expenditure
Stirling,2014-2016,Count,Thousand Nights,781,England,Nights
Stirling,2013-2015,Count,Thousand Visits,243,Scotland,Visits
Stirling,2011-2013,Count,million pounds (GBP),40,England,Expenditure
Stirling,2015-2017,Count,Thousand Visits,402,All of GB,Visits
Stirling,2017-2019,Count,million pounds (GBP),67,All of GB,Expenditure
Stirling,2010-2012,Count,million pounds (GBP),42,England,Expenditure
Stirling,2009-2011,Count,Thousand Nights,873,England,Nights
Stirling,2016-2018,Count,million pounds (GBP),27,England,Expenditure
Stirling,2014-2016,Count,million pounds (GBP),41,England,Expenditure
Stirling,2013-2015,Count,Thousand Visits,181,England,Visits
Stirling,2013-2015,Count,Thousand Nights,1175,All of GB,Nights
Stirling,2014-2016,Count,million pounds (GBP),38,Scotland,Expenditure
Stirling,2012-2014,Count,million pounds (GBP),40,England,Expenditure
Stirling,2015-2017,Count,Thousand Visits,176,England,Visits
Stirling,2017-2019,Count,Thousand Visits,248,Scotland,Visits
Stirling,2012-2014,Count,Thousand Nights,507,Scotland,Nights
Stirling,2012-2014,Count,million pounds (GBP),83,All of GB,Expenditure
Stirling,2014-2016,Count,Thousand Visits,246,Scotland,Visits
Stirling,2017-2019,Count,Thousand Nights,406,England,Nights
Stirling,2011-2013,Count,million pounds (GBP),81,All of GB,Expenditure
Stirling,2012-2014,Count,million pounds (GBP),37,Scotland,Expenditure
Stirling,2016-2018,Count,million pounds (GBP),64,All of GB,Expenditure
Stirling,2014-2016,Count,Thousand Nights,1206,All of GB,Nights
Stirling,2009-2011,Count,Thousand Nights,410,Scotland,Nights
Stirling,2015-2017,Count,Thousand Nights,621,England,Nights
Stirling,2009-2011,Count,million pounds (GBP),17,Scotland,Expenditure
Stirling,2017-2019,Count,million pounds (GBP),25,England,Expenditure
Stirling,2011-2013,Count,Thousand Visits,399,All of GB,Visits
Stirling,2012-2014,Count,Thousand Visits,157,England,Visits
Stirling,2009-2011,Count,million pounds (GBP),48,England,Expenditure
Stirling,2010-2012,Count,Thousand Nights,465,Scotland,Nights
Stirling,2017-2019,Count,Thousand Nights,503,Scotland,Nights
Aberdeen City,2010-2012,Count,Thousand Visits,744,All of GB,Visits
Aberdeen City,2009-2011,Count,Thousand Visits,736,All of GB,Visits
Aberdeen City,2017-2019,Count,million pounds (GBP),111,All of GB,Expenditure
Aberdeen City,2011-2013,Count,Thousand Visits,447,Scotland,Visits
Aberdeen City,2015-2017,Count,million pounds (GBP),156,All of GB,Expenditure
Aberdeen City,2016-2018,Count,million pounds (GBP),128,All of GB,Expenditure
Aberdeen City,2014-2016,Count,million pounds (GBP),167,All of GB,Expenditure
Aberdeen City,2012-2014,Count,Thousand Visits,395,Scotland,Visits
Aberdeen City,2013-2015,Count,million pounds (GBP),54,Scotland,Expenditure
Aberdeen City,2016-2018,Count,Thousand Visits,574,All of GB,Visits
Aberdeen City,2011-2013,Count,Thousand Nights,948,England,Nights
Aberdeen City,2015-2017,Count,Thousand Nights,1740,All of GB,Nights
Aberdeen City,2014-2016,Count,Thousand Visits,292,England,Visits
Aberdeen City,2011-2013,Count,Thousand Visits,315,England,Visits
Aberdeen City,2013-2015,Count,million pounds (GBP),158,All of GB,Expenditure
Aberdeen City,2014-2016,Count,million pounds (GBP),96,England,Expenditure
Aberdeen City,2017-2019,Count,Thousand Visits,223,England,Visits
Aberdeen City,2012-2014,Count,million pounds (GBP),63,Scotland,Expenditure
Aberdeen City,2010-2012,Count,million pounds (GBP),77,England,Expenditure
Aberdeen City,2009-2011,Count,Thousand Visits,295,England,Visits
Aberdeen City,2016-2018,Count,Thousand Visits,262,England,Visits
Aberdeen City,2009-2011,Count,Thousand Visits,409,Scotland,Visits
Aberdeen City,2011-2013,Count,million pounds (GBP),162,All of GB,Expenditure
Aberdeen City,2015-2017,Count,million pounds (GBP),86,England,Expenditure
Aberdeen City,2016-2018,Count,Thousand Visits,300,Scotland,Visits
Aberdeen City,2012-2014,Count,Thousand Visits,718,All of GB,Visits
Aberdeen City,2015-2017,Count,Thousand Visits,309,Scotland,Visits
Aberdeen City,2010-2012,Count,million pounds (GBP),159,All of GB,Expenditure
