area,year,measurement,units,value,type_of_location_visited,breakdown_of_domestic_tourism,tourism_activity
Scotland,2015,Count,million pounds (GBP),87,NA,Expenditure,"Day out to a beauty/health centre/spa, etc."
Scotland,2013,Count,million pounds (GBP),147,NA,Expenditure,Leisure activities e.g. hobbies & evening classes
Scotland,2015,Count,million pounds (GBP),142,NA,Expenditure,"Special personal events e.g. wedding, graduation"
Scotland,2018,Count,million pounds (GBP),893,NA,Expenditure,"Outdoor leisure activities e.g. walking, golf"
Scotland,2019,Count,million pounds (GBP),1111,NA,Expenditure,"Night out to a bar, pub and/or club"
Scotland,2019,Count,million pounds (GBP),1059,NA,Expenditure,"Outdoor leisure activities e.g. walking, golf"
Scotland,2017,Count,million pounds (GBP),1276,NA,Expenditure,"Outdoor leisure activities e.g. walking, golf"
Scotland,2018,Count,million pounds (GBP),1150,NA,Expenditure,"Night out to a bar, pub and/or club"
Scotland,2019,Count,million pounds (GBP),507,NA,Expenditure,Leisure activities e.g. hobbies & evening classes
Scotland,2013,Count,million pounds (GBP),840,NA,Expenditure,"Night out to a bar, pub and/or club"
Scotland,2015,Count,million pounds (GBP),647,NA,Expenditure,"Outdoor leisure activities e.g. walking, golf"
Scotland,2017,Count,million pounds (GBP),1298,NA,Expenditure,"Night out to a bar, pub and/or club"
Scotland,2016,Count,million pounds (GBP),69,NA,Expenditure,"Day out to a beauty/health centre/spa, etc."
Scotland,2013,Count,million pounds (GBP),699,NA,Expenditure,"Outdoor leisure activities e.g. walking, golf"
Scotland,2014,Count,million pounds (GBP),571,NA,Expenditure,"Outdoor leisure activities e.g. walking, golf"
Scotland,2016,Count,million pounds (GBP),973,NA,Expenditure,"Night out to a bar, pub and/or club"
Scotland,2015,Count,million pounds (GBP),876,NA,Expenditure,"Night out to a bar, pub and/or club"
Scotland,2013,Count,million pounds (GBP),414,NA,Expenditure,"Visitor attraction e.g. theme park, museum, zoo"
Scotland,2015,Count,million pounds (GBP),506,NA,Expenditure,General day out/ to explore an area
Scotland,2015,Count,million pounds (GBP),345,NA,Expenditure,"Visitor attraction e.g. theme park, museum, zoo"
Scotland,2017,Count,million pounds (GBP),742,NA,Expenditure,"Visitor attraction e.g. theme park, museum, zoo"
Scotland,2018,Count,million pounds (GBP),396,NA,Expenditure,"Sport participation, e.g. exercise classes, gym"
Scotland,2018,Count,million pounds (GBP),1010,NA,Expenditure,General day out/ to explore an area
Scotland,2016,Count,million pounds (GBP),806,NA,Expenditure,General day out/ to explore an area
Scotland,2018,Count,million pounds (GBP),87,NA,Expenditure,"Day out to a beauty/health centre/spa, etc."
Scotland,2019,Count,million pounds (GBP),443,NA,Expenditure,"Visitor attraction e.g. theme park, museum, zoo"
Scotland,2013,Count,million pounds (GBP),474,NA,Expenditure,"Entertainment - to a cinema, concert or theatre"
Scotland,2017,Count,million pounds (GBP),252,NA,Expenditure,"Day out to a beauty/health centre/spa, etc."
Scotland,2019,Count,million pounds (GBP),341,NA,Expenditure,"Day out to a beauty/health centre/spa, etc."
Scotland,2018,Count,million pounds (GBP),467,NA,Expenditure,"Visitor attraction e.g. theme park, museum, zoo"
Scotland,2013,Count,million pounds (GBP),145,NA,Expenditure,"Day out to a beauty/health centre/spa, etc."
Scotland,2014,Count,million pounds (GBP),599,NA,Expenditure,Day trips/excursions for other leisure purpose
Scotland,2017,Count,million pounds (GBP),1042,NA,Expenditure,General day out/ to explore an area
Scotland,2013,Count,million pounds (GBP),312,NA,Expenditure,Day trips/excursions for other leisure purpose
Scotland,2015,Count,million pounds (GBP),269,NA,Expenditure,Day trips/excursions for other leisure purpose
Scotland,2018,Count,million pounds (GBP),362,NA,Expenditure,Day trips/excursions for other leisure purpose
Scotland,2013,Count,million pounds (GBP),528,NA,Expenditure,General day out/ to explore an area
Scotland,2019,Count,million pounds (GBP),869,NA,Expenditure,General day out/ to explore an area
Scotland,2014,Count,million pounds (GBP),317,NA,Expenditure,"Sport participation, e.g. exercise classes, gym"
Scotland,2016,Count,million pounds (GBP),289,NA,Expenditure,"Sport participation, e.g. exercise classes, gym"
Scotland,2014,Count,million pounds (GBP),715,NA,Expenditure,General day out/ to explore an area
Scotland,2015,Count,million pounds (GBP),215,NA,Expenditure,"Sport participation, e.g. exercise classes, gym"
Scotland,2019,Count,million pounds (GBP),406,NA,Expenditure,Day trips/excursions for other leisure purpose
Scotland,2017,Count,million pounds (GBP),443,NA,Expenditure,Day trips/excursions for other leisure purpose
Scotland,2013,Count,million pounds (GBP),143,NA,Expenditure,"Sport participation, e.g. exercise classes, gym"
Scotland,2019,Count,million pounds (GBP),2078,NA,Expenditure,Went out for a meal
Scotland,2013,Count,million pounds (GBP),1065,NA,Expenditure,Visited friends or family for leisure
Scotland,2015,Count,million pounds (GBP),1631,NA,Expenditure,Went out for a meal
Scotland,2017,Count,million pounds (GBP),2208,NA,Expenditure,Went out for a meal
Scotland,2018,Count,million pounds (GBP),191,NA,Expenditure,"Special public event e.g. festival, exhibition"
Scotland,2017,Count,million pounds (GBP),1818,NA,Expenditure,Visited friends or family for leisure
Scotland,2019,Count,million pounds (GBP),1841,NA,Expenditure,Visited friends or family for leisure
Scotland,2014,Count,million pounds (GBP),462,NA,Expenditure,"Visitor attraction e.g. theme park, museum, zoo"
Scotland,2014,Count,million pounds (GBP),469,NA,Expenditure,"Entertainment - to a cinema, concert or theatre"
Scotland,2018,Count,million pounds (GBP),577,NA,Expenditure,"Entertainment - to a cinema, concert or theatre"
Scotland,2016,Count,million pounds (GBP),378,NA,Expenditure,"Visitor attraction e.g. theme park, museum, zoo"
Scotland,2016,Count,million pounds (GBP),330,NA,Expenditure,Day trips/excursions for other leisure purpose
Scotland,2015,Count,million pounds (GBP),593,NA,Expenditure,"Entertainment - to a cinema, concert or theatre"
Scotland,2019,Count,million pounds (GBP),620,NA,Expenditure,"Entertainment - to a cinema, concert or theatre"
Scotland,2016,Count,million pounds (GBP),1158,NA,Expenditure,Visited friends or family for leisure
Scotland,2015,Count,million pounds (GBP),1186,NA,Expenditure,Visited friends or family for leisure
Scotland,2018,Count,million pounds (GBP),1959,NA,Expenditure,Went out for a meal
Scotland,2014,Count,million pounds (GBP),1376,NA,Expenditure,Visited friends or family for leisure
Scotland,2017,Count,million pounds (GBP),903,NA,Expenditure,"Entertainment - to a cinema, concert or theatre"
Scotland,2016,Count,million pounds (GBP),604,NA,Expenditure,"Entertainment - to a cinema, concert or theatre"
Scotland,2018,Count,million pounds (GBP),1698,NA,Expenditure,Visited friends or family for leisure
Scotland,2013,Count,Million Visits,11,NA,Visits,"Visitor attraction e.g. theme park, museum, zoo"
Scotland,2013,Count,Million Visits,6,NA,Visits,Leisure activities e.g. hobbies & evening classes
Scotland,2018,Count,Million Visits,14,NA,Visits,"Visitor attraction e.g. theme park, museum, zoo"
